arm,crosses_per_team_match,fixture,fouls_committed_per_team_match,goals_away,goals_home,goals_per_team_match,goals_to_micro_xg_ratio,headers_per_team_match,interceptions_per_pass,long_pass_share,micro_xg_away,micro_xg_home,micro_xg_per_team_match,pass_completion,passes_away,passes_home,passes_per_team_match,possession_away,possession_home,possession_share,red_cards_per_team_match,sample_index,shots_away,shots_home,shots_on_target_rate,shots_per_team_match,tackles_per_team_match,through_share,wm_action_adoption_rate,wm_action_adoptions,wm_action_attributable_adoptions,wm_action_attribution_eligible_opportunities,wm_action_counterfactual_change_rate,wm_action_counterfactual_changes,wm_action_expected_counterfactual_change_rate,wm_action_expected_counterfactual_changes,wm_action_influenced_opportunities,wm_action_mean_probability_shift,wm_action_opportunities,wm_pass_target_changes,wm_pass_target_expected_changes,wm_pass_target_influenced_opportunities,wm_pass_target_opportunities,yellow_cards_per_team_match
M1_predict_only,1.5,Mexico_vs_South Korea,1.5,0.0,0.0,0.0,0.0,0.0,0.06172839506172839,0.1728395061728395,0.012,0.03574376899961459,0.023871884499807296,0.7592592592592593,81.0,81.0,81.0,0.49693251533742333,0.5030674846625767,0.5030674846625767,0.0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,2.5,Mexico_vs_South Korea,0.5,0.0,0.0,0.0,0.0,0.0,0.024691358024691357,0.14814814814814814,0.18793533486895128,0.013427997130027378,0.10068166599948933,0.8024691358024691,110.0,52.0,81.0,0.6809815950920246,0.31901840490797545,0.31901840490797545,0.0,1,1.0,0.0,1.0,0.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,2.5,Brazil_vs_Germany,1.5,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.11180124223602485,0.330303356199801,0.034690263562727315,0.18249680988126415,0.8757763975155279,90.0,71.0,80.5,0.5644171779141105,0.43558282208588955,0.43558282208588955,0.0,0,2.0,0.0,0.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,1.0,Brazil_vs_Germany,2.5,0.0,0.0,0.0,0.0,0.0,0.037267080745341616,0.062111801242236024,0.33001748171240697,0.0,0.16500874085620348,0.8385093167701864,84.0,77.0,80.5,0.5276073619631902,0.4723926380368098,0.4723926380368098,0.0,1,2.0,0.0,0.5,1.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,2.0,France_vs_England,3.0,0.0,0.0,0.0,0.0,0.0,0.030864197530864196,0.16666666666666666,0.027829503122674373,0.014044317892227228,0.0209369105074508,0.7901234567901234,74.0,88.0,81.0,0.4601226993865031,0.5398773006134969,0.5398773006134969,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,4.0,France_vs_England,2.0,0.0,0.0,0.0,0.0,0.0,0.031446540880503145,0.24528301886792453,0.007652012752523003,0.03949693855787873,0.023574475655200867,0.7735849056603774,74.0,85.0,79.5,0.4601226993865031,0.5398773006134969,0.5398773006134969,0.0,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,1.5,Argentina_vs_Netherlands,2.0,0.0,0.0,0.0,0.0,0.5,0.024844720496894408,0.2546583850931677,0.1861853669565926,0.004515019159087288,0.09535019305783994,0.782608695652174,69.0,92.0,80.5,0.42944785276073616,0.5705521472392638,0.5705521472392638,0.0,0,1.0,0.0,1.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,1.0,Argentina_vs_Netherlands,1.0,0.0,0.0,0.0,0.0,0.5,0.03125,0.1375,0.46921326219940057,0.0,0.23460663109970029,0.7625,89.0,71.0,80.0,0.5644171779141105,0.43558282208588955,0.43558282208588955,0.0,1,3.0,0.0,0.3333333333333333,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,2.5,Spain_vs_Morocco,5.5,0.0,0.0,0.0,0.0,0.0,0.0440251572327044,0.20754716981132076,0.4028188029716975,0.0,0.20140940148584874,0.7610062893081762,112.0,47.0,79.5,0.7116564417177914,0.2883435582822086,0.2883435582822086,0.0,0,2.0,0.0,0.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M1_predict_only,1.5,Spain_vs_Morocco,1.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.15625,0.5213590990987507,0.02179694924050015,0.2715780241696254,0.8,37.0,123.0,80.0,0.245398773006135,0.754601226993865,0.754601226993865,0.0,1,3.0,0.0,0.6666666666666666,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
