team,total_matches,historical_base,modern_power,final_status_score,global_exposure_gate,sample_confidence,tier
Argentina,1064,94.44148761804746,100.0,100.0,pass,high,Core Power
Brazil,1057,100.0,92.60443959130478,96.43851638078173,pass,high,Core Power
France,933,73.31134936257736,88.48584894010871,85.35084659746929,pass,high,Core Power
Spain,781,73.8085382247077,83.72297330318824,82.11491461270836,pass,high,Core Power
Germany,1029,81.03782811167962,79.65998845683086,81.43466035347802,pass,high,Core Power
England,1088,68.9756533361764,80.07055778359413,78.03960116312662,pass,high,Core Power
Uruguay,968,77.15294093304219,75.98715691790393,77.6346037418105,pass,high,Core Power
Portugal,693,64.45928422835607,76.67351347241052,74.24268828744326,pass,high,Semi-Core
Colombia,636,63.364888926312965,76.23822351945915,73.59853038845736,pass,high,Semi-Core
Belgium,851,57.800695192308204,76.99118052604307,72.4332866082134,pass,high,Semi-Core
Netherlands,877,68.23020649464908,71.95299294901332,72.0375822250038,pass,high,Semi-Core
Mexico,1000,65.92645072862365,70.49263332598346,70.29460465668981,pass,high,Semi-Core
Italy,891,69.91175633308437,67.26300616553975,69.21552664831604,pass,high,Semi-Core
Croatia,394,56.11335559302232,69.76439865952194,66.77698298711628,pass,high,Semi-Core
Basque Country,58,60.66193382502163,64.4167360820934,64.36349057386671,partial_pass,high,Semi-Core
Chile,833,61.75520197843056,63.79064065079857,64.25232341858977,pass,high,Semi-Core
United States,788,56.04956000610982,65.78287812379055,63.9253626153091,pass,high,Semi-Core
Japan,789,53.358916449738004,63.54425408686247,61.510531161670265,pass,high,Semi-Core
Switzerland,882,50.09913565541583,63.12256010055409,60.21414035364304,pass,high,Semi-Core
Morocco,614,49.93832924233219,62.03995220385272,59.394909445413504,pass,high,Regional Power
